Louisiana Secretary of State,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Statewide Report of Registered Voters,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Statistical_StatewideParty: Statewide Registered Voters by Party and Race
For Registrations From 1/1/1900 To 5/1/2022 AND Status Both",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,------------REGISTERED VOTERS------------,,,,-------------DEMOCRATS--------------,,,,---------------REPUBLICANS---------------,,,,---------------OTHER PARTIES--------------,,,,,,
,NAME,,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,,,
,LIVINGSTON - 32,,"86,369","77,533","5,650","3,186","17,684","13,097","4,061",526,"43,368","42,081",182,"1,105","25,317","22,355","1,407","1,555",,,
,MADISON - 33,,"7,495","2,577","4,802",116,"4,254",490,"3,732",32,"1,555","1,427",97,31,"1,686",660,973,53,,,
,MOREHOUSE - 34,,"17,752","8,909","8,535",308,"8,266","1,584","6,595",87,"5,476","5,122",274,80,"4,010","2,203","1,666",141,,,
,NATCHITOCHES - 35,,"24,011","13,310","9,613","1,088","10,622","3,127","7,076",419,"7,195","6,688",293,214,"6,194","3,495","2,244",455,,,
,ORLEANS - 36,,"267,224","97,437","145,726","24,061","171,163","44,491","115,965",10707,"26,295","21,333","2,143","2,819","69,766","31,613","27,618","10,535",,,
,OUACHITA - 37,,"103,570","62,795","36,969","3,806","38,203","9,303","27,852",1048,"38,982","37,237",826,919,"26,385","16,255","8,291","1,839",,,
,PLAQUEMINES - 38,,"14,296","9,755","3,222","1,319","5,166","2,189","2,565",412,"5,191","4,758",88,345,"3,939","2,808",569,562,,,
,POINTE COUPEE - 39,,"15,468","9,771","5,439",258,"7,858","3,328","4,456",74,"4,193","4,044",89,60,"3,417","2,399",894,124,,,
,RAPIDES - 40,,"81,880","53,867","24,318","3,695","29,821","10,885","17,972",964,"30,480","28,769",727,984,"21,579","14,213","5,619","1,747",,,
,RED RIVER - 41,,"5,744","3,215","2,445",84,"2,827",790,"2,004",33,"1,813","1,732",55,26,"1,104",693,386,25,,,
,RICHLAND - 42,,"14,030","8,699","5,085",246,"5,317","1,513","3,748",56,"5,409","5,159",168,82,"3,304","2,027","1,169",108,,,
,SABINE - 43,,"14,731","11,180","2,197","1,354","4,686","2,625","1,661",400,"6,543","5,988",76,479,"3,502","2,567",460,475,,,
,ST. BERNARD - 44,,"26,579","18,783","5,777","2,019","10,768","5,869","4,302",597,"6,790","6,273",127,390,"9,021","6,641","1,348","1,032",,,
,ST. CHARLES - 45,,"36,151","25,049","9,111","1,991","12,879","5,240","7,154",485,"13,512","12,729",199,584,"9,760","7,080","1,758",922,,,
,ST. HELENA - 46,,"8,428","3,690","4,602",136,"5,130","1,080","4,019",31,"1,840","1,732",76,32,"1,458",878,507,73,,,
,ST. JAMES - 47,,"15,342","7,363","7,752",227,"9,619","2,805","6,723",91,"3,161","3,005",118,38,"2,562","1,553",911,98,,,
,ST. JOHN THE BAPTIST - 48,,"29,603","10,410","17,677","1,516","17,815","3,201","14,091",523,"4,821","4,207",323,291,"6,967","3,002","3,263",702,,,
,ST. LANDRY - 49,,"58,542","31,837","25,153","1,552","29,293","9,238","19,571",484,"15,807","14,675",752,380,"13,442","7,924","4,830",688,,,
,ST. MARTIN - 50,,"37,058","25,001","11,173",884,"15,227","6,651","8,415",161,"12,652","12,030",357,265,"9,179","6,320","2,401",458,,,
,ST. MARY - 51,,"32,235","19,768","10,645","1,822","12,546","4,105","8,015",426,"10,412","9,670",297,445,"9,277","5,993","2,333",951,,,
,ST. TAMMANY - 52,,"186,527","151,787","22,135","12,605","42,117","23,421","15,887",2809,"87,640","83,012",588,"4,040","56,770","45,354","5,660","5,756",,,
,TANGIPAHOA - 53,,"78,205","54,133","21,136","2,936","27,649","11,355","15,602",692,"28,385","26,941",623,821,"22,171","15,837","4,911","1,423",,,
,TENSAS - 54,,"3,435","1,498","1,901",36,"2,068",385,"1,670",13,836,801,27,8,531,312,204,15,,,
,TERREBONNE - 55,,"63,583","46,653","11,962","4,968","18,565","8,898","8,562",1105,"25,765","23,986",346,"1,433","19,253","13,769","3,054","2,430",,,
,UNION - 56,,"15,673","11,386","3,808",479,"5,179","2,153","2,909",117,"6,884","6,605",145,134,"3,610","2,628",754,228,,,
,VERMILION - 57,,"37,708","31,243","5,137","1,328","12,857","9,011","3,605",241,"14,659","14,003",217,439,"10,192","8,229","1,315",648,,,
,VERNON - 58,,"25,428","20,100","3,276","2,052","6,600","4,060","2,139",401,"11,002","10,138",132,732,"7,826","5,902","1,005",919,,,
,WASHINGTON - 59,,"28,098","19,192","8,235",671,"11,533","4,929","6,416",188,"9,735","9,354",225,156,"6,830","4,909","1,594",327,,,
,WEBSTER - 60,,"23,914","15,640","7,767",507,"9,104","2,852","6,134",118,"8,994","8,649",192,153,"5,816","4,139","1,441",236,,,
,WEST BATON ROUGE - 61,,"17,608","10,171","7,078",359,"8,363","2,551","5,703",109,"4,951","4,784",97,70,"4,294","2,836","1,278",180,,,
,WEST CARROLL - 62,,"7,132","5,995","1,050",87,"1,989","1,223",751,15,"3,416","3,313",64,39,"1,727","1,459",235,33,,,
,WEST FELICIANA - 63,,"7,830","5,395","2,289",146,"2,989",982,"1,978",29,"3,031","2,947",37,47,"1,810","1,466",274,70,,,
,WINN - 64,,"8,631","6,126","2,368",137,"3,186","1,396","1,769",21,"3,141","3,061",44,36,"2,304","1,669",555,80,,,
,,,,,,,,,,,,,,,,,,,,,
