Reporting Period: 04/30/2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Search,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAME,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American,Native Hawaiian,Other,Hispanic,Male,Female,Total
,,,,,,,,,Indian,,,,,,
JOHNSTON,"40,232","56,034",0,0,"1,161","50,653","101,563","24,073",424,14,"22,006","7,293","65,211","74,880","148,080"
JONES,"2,653","2,167",0,0,38,"2,075","4,321","2,079",13,0,520,77,"2,995","3,536","6,933"
LEE,"13,087","11,688",0,0,254,"13,527","25,101","7,275",154,6,"6,020","3,042","16,330","19,518","38,556"
LENOIR,"16,889","10,084",0,0,141,"9,165","18,466","14,407",61,3,"3,342",681,"14,999","18,783","36,279"
LINCOLN,"12,273","30,607",0,0,430,"21,923","55,364","3,454",88,0,"6,327","1,868","29,262","31,794","65,233"
MACON,"5,350","12,154",0,0,171,"9,901","25,362",182,60,2,"1,970",436,"12,734","14,448","27,576"
MADISON,"5,383","4,740",0,0,121,"6,635","15,353",143,29,0,"1,354",171,"7,602","8,061","16,879"
MARTIN,"8,256","3,400",0,0,48,"4,442","8,668","6,547",26,0,905,157,"6,918","8,631","16,146"
MCDOWELL,"6,122","12,615",0,0,168,"10,520","26,801",805,37,1,"1,781",504,"13,445","14,854","29,425"
MECKLENBURG,"334,598","162,287",0,0,"6,051","285,273","408,074","244,792","2,129",42,"133,172","41,281","334,415","399,736","788,209"
MITCHELL,"1,097","6,533",0,0,48,"3,395","9,985",40,12,0,"1,036",114,"4,944","5,418","11,073"
MONTGOMERY,"5,709","6,196",0,0,90,"5,179","12,011","3,188",47,0,"1,928",723,"7,665","8,580","17,174"
MOORE,"15,826","30,676",0,0,599,"27,097","59,530","7,736",351,5,"6,576","1,592","32,698","38,472","74,198"
NASH,"30,231","19,440",0,0,306,"17,634","34,340","26,579",349,5,"6,338","1,566","28,832","35,097","67,611"
NEW HANOVER,"51,443","53,865",0,0,"1,504","70,024","136,288","19,690",389,12,"20,457","3,669","74,069","86,836","176,836"
NORTHAMPTON,"8,416","1,548",0,0,43,"3,235","5,180","7,358",35,0,669,54,"5,779","6,839","13,242"
ONSLOW,"23,899","43,363",0,0,"1,579","43,487","76,935","17,650",416,22,"17,305","5,999","47,632","56,067","112,328"
ORANGE,"50,783","13,865",0,0,612,"42,863","75,804","11,662",259,1,"20,397","3,959","45,089","53,156","108,123"
PAMLICO,"2,867","3,727",0,0,49,"2,832","7,372","1,394",25,0,684,85,"4,208","4,791","9,475"
PASQUOTANK,"10,872","6,994",0,0,197,"9,814","15,851","9,421",39,1,"2,565",345,"11,951","14,247","27,877"
PENDER,"11,377","18,464",0,0,397,"16,142","35,864","5,918",114,3,"4,481","1,091","20,565","22,878","46,380"
PERQUIMANS,"3,135","3,330",0,0,60,"3,471","7,392","2,027",21,2,554,50,"4,459","5,108","9,996"
PERSON,"10,024","7,905",0,0,126,"9,375","17,935","6,898",120,3,"2,474",442,"11,880","13,878","27,430"
PITT,"48,999","29,840",0,0,744,"37,232","63,388","39,862",238,3,"13,324","2,901","47,936","60,352","116,815"
POLK,"3,713","5,986",0,0,112,"6,299","14,300",598,11,1,"1,200",229,"7,218","8,421","16,110"
RANDOLPH,"16,110","49,384",0,0,604,"28,816","78,375","5,913",306,4,"10,316","3,310","42,284","47,227","94,914"
RICHMOND,"12,297","6,999",0,0,116,"8,167","16,375","8,586",385,0,"2,233",449,"12,050","14,328","27,579"
ROBESON,"36,433","12,400",0,0,216,"21,435","20,024","18,534","24,377",8,"7,541","1,864","30,279","37,925","70,484"
ROCKINGHAM,"18,824","23,795",0,0,316,"18,086","42,599","11,135",101,0,"7,186","1,081","27,487","32,257","61,021"
ROWAN,"23,809","41,143",0,0,578,"30,922","70,612","15,490",195,5,"10,150","2,580","41,939","47,821","96,452"
RUTHERFORD,"11,056","19,479",0,0,243,"15,173","37,501","4,110",64,0,"4,276",775,"20,005","22,964","45,951"
SAMPSON,"13,534","15,155",0,0,182,"9,013","22,181","10,276",541,0,"4,886","2,494","16,433","19,627","37,884"
SCOTLAND,"10,024","4,217",0,0,75,"6,278","9,366","7,795","1,598",5,"1,830",183,"8,431","10,861","20,594"
STANLY,"8,974","20,461",0,0,196,"13,613","33,674","4,372",83,2,"5,113",536,"18,503","20,845","43,244"
STOKES,"5,772","16,715",0,0,180,"9,383","27,576","1,190",51,0,"3,233",381,"15,169","16,632","32,050"
SURRY,"10,226","21,679",0,0,215,"15,008","40,272","1,733",51,1,"5,071","1,846","20,723","23,536","47,128"
SWAIN,"3,091","2,982",0,0,63,"3,733","7,551",97,"1,576",1,644,78,"4,458","5,059","9,869"
TRANSYLVANIA,"6,019","8,512",0,0,155,"11,625","23,478",778,48,0,"2,007",217,"11,541","13,328","26,311"
TYRRELL,"1,072",432,0,0,8,762,"1,404",646,4,0,220,35,"1,007","1,105","2,274"
UNION,"38,648","67,178",0,0,"1,075","59,033","120,747","18,896",463,7,"25,821","7,641","72,727","81,116","165,934"
VANCE,"17,124","4,851",0,0,100,"6,518","11,451","14,373",55,1,"2,713",666,"11,857","15,085","28,593"
WAKE,"288,955","180,291",0,0,"6,472","323,843","495,303","146,893","1,995",39,"155,331","31,930","339,320","388,747","799,561"
WARREN,"8,117","2,157",0,0,43,"2,751","5,285","6,352",538,1,892,102,"5,678","6,772","13,068"
WASHINGTON,"4,888","1,332",0,0,20,"1,841","3,666","3,887",11,0,517,62,"3,450","4,303","8,081"
WATAUGA,"11,491","12,702",0,0,426,"19,446","38,614",868,61,4,"4,518","1,131","19,196","21,934","44,065"
WAYNE,"28,316","25,112",0,0,427,"20,831","41,454","23,893",128,2,"9,209","2,705","31,512","37,861","74,686"
WILKES,"7,515","23,680",0,0,202,"12,384","38,454","1,583",53,0,"3,691",856,"19,419","21,485","43,781"
WILSON,"25,871","13,740",0,0,232,"15,207","27,030","22,131",104,0,"5,785","1,593","23,097","29,137","55,050"
YADKIN,"3,276","14,047",0,0,128,"7,256","21,677",729,29,0,"2,272",859,"11,176","12,143","24,707"
YANCEY,"4,099","5,441",0,0,68,"4,754","13,248",75,21,1,"1,017",110,"6,555","7,091","14,362"
&nbsp;,,,,,,,,,,,,,,,
Totals,"2,495,474","2,200,299",0,0,"49,026","2,534,366","4,758,885","1,489,082","53,534",489,"977,175","250,386","3,111,920","3,660,175","7,279,165"
